RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
1,S. Curry,GS,Por,122-137 W,36,18-31,8-16,18-19,5,4,0,0,5,62,84.4,5,52
2,Z. LaVine,Chi,Dal,108-118 W,39,14-25,3-9,8-9,6,5,3,0,4,39,60.1,9,30.25
3,P. George,LAC,@PHX,112-107 W,38,15-24,7-10,2-2,3,4,2,1,5,39,59.3,6,28.5
4,J. Murray,Den,@Min,124-109 W,36,13-20,3-7,7-9,5,4,1,0,0,36,56.7,6,31
5,K. Irving,BKN,WSH,123-122 L,39,10-20,2-7,8-8,5,10,2,2,5,30,55.3,9,25.25
6,J. Tatum,Bos,@Det,122-120 W,37,10-22,4-8,0-0,8,12,0,2,0,24,54,10,26.75
7,J. Brunson,Dal,@Chi,108-118 L,38,11-17,3-7,6-6,5,7,1,0,4,31,53.2,6,24.5
8,L. James,LAL,@Mem,108-94 W,32,9-16,3-6,1-3,13,8,1,0,2,22,49.4,14,20
9,M. Beasley,Min,Den,124-109 L,38,10-16,3-5,2-2,7,5,1,2,1,25,49.3,10,19.5
10,K. Durant,BKN,WSH,123-122 L,38,8-15,2-7,10-12,11,7,0,0,6,28,48.9,11,19.5
11,N. Jokic,Den,@Min,124-109 W,32,8-12,0-1,3-3,12,12,0,0,7,19,48.5,12,16
12,C. McCollum,Por,@GS,122-137 L,38,10-23,2-8,6-8,9,5,2,0,1,28,45.8,11,22.5
13,T. Bryant,WSH,@BKN,123-122 W,28,9-12,1-2,2-2,14,2,1,0,1,21,45.7,15,15
14,J. Brown,Bos,@Det,122-120 W,35,13-16,5-8,0-0,1,3,0,0,6,31,45.1,1,19.25
15,B. Bogdanovic,UTAH,@SA,130-109 W,27,10-13,6-7,2-3,1,3,1,0,1,28,43.8,2,23.25
16,B. Beal,WSH,@BKN,123-122 W,36,9-25,2-5,7-9,10,5,1,2,2,27,43.8,13,21
17,E. Kanter,Por,@GS,122-137 L,24,8-12,0-0,8-10,12,1,1,0,0,24,43.6,13,19
18,D. Booker,PHX,LAC,112-107 L,45,7-13,1-3,10-12,5,8,0,0,2,25,43.4,5,19.75
19,D. Ayton,PHX,LAC,112-107 L,30,9-12,0-0,6-7,8,2,1,0,1,24,42.4,9,17.5
20,D. Lillard,Por,@GS,122-137 L,39,10-24,6-15,6-7,4,4,0,0,5,32,40.6,4,21.25
21,D. Mitchell,UTAH,@SA,130-109 W,29,8-17,5-9,1-1,4,9,0,0,4,22,39.4,4,19.75
22,C. White,Chi,Dal,108-118 W,33,7-14,4-9,5-5,7,4,0,0,4,23,37.5,7,14.75
23,K. Johnson,SA,UTAH,130-109 L,28,10-16,0-0,2-2,7,2,2,0,3,22,37.4,9,14
24,M. Smart,Bos,@Det,122-120 W,34,5-10,1-5,6-6,3,10,0,1,2,17,37,4,16.5
25,R. Westbrook,WSH,@BKN,123-122 W,38,7-25,1-7,9-12,5,10,2,0,2,24,36.6,7,22.5
