RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
1,J. Randle,NY,Mil,110-130 W,37,8-17,3-5,10-11,14,7,0,1,2,29,56.8,15,24.75
2,S. Curry,GS,@Chi,129-128 W,36,11-25,5-15,9-9,2,6,2,2,4,36,53,6,29
3,G. Hayward,Cha,BKN,104-106 W,36,12-20,2-3,2-2,6,7,1,0,0,28,51.9,7,26
4,A. Drummond,Cle,Phi,94-118 W,26,11-18,0-0,2-4,14,3,3,2,1,24,51.6,19,19.5
5,G. Antetokounmpo,Mil,@NY,110-130 L,32,9-15,1-5,8-13,13,5,3,0,3,27,50.6,16,21
6,Z. LaVine,Chi,GS,129-128 L,35,11-23,4-12,7-9,7,3,2,2,7,33,47.7,11,20.25
7,E. Payton,NY,Mil,110-130 W,29,12-16,3-3,0-2,3,7,1,0,3,27,47.4,4,23.75
8,B. Ingram,NO,SA,95-98 W,35,9-23,2-5,8-10,11,6,0,1,3,28,45.9,12,22.25
9,W. Carter Jr.,Chi,GS,129-128 L,31,8-9,1-2,5-8,13,4,0,0,3,22,45.1,13,15.25
10,L. Doncic,Dal,@LAC,124-73 W,26,8-18,0-5,8-9,9,8,1,0,2,24,45,10,23.5
11,J. Tatum,Bos,@Ind,107-108 L,36,9-21,3-9,4-4,11,5,0,1,5,25,42.8,12,16
12,K. Durant,BKN,@Cha,104-106 L,36,9-15,5-7,6-9,3,4,0,1,3,29,42.7,4,21
13,B. Beal,WSH,Orl,120-113 L,39,10-29,0-7,9-9,5,7,0,1,1,29,41.6,6,25.25
14,K. Irving,BKN,@Cha,104-106 L,36,10-17,3-8,2-2,3,6,1,0,4,25,41,4,18
15,R. Neto,WSH,Orl,120-113 L,32,10-17,2-8,0-0,4,5,3,0,2,22,40,7,17
16,M. Brogdon,Ind,Bos,107-108 W,36,11-20,2-7,1-2,5,5,2,0,5,25,39.8,7,16
17,M. Gasol,LAL,Min,91-127 W,21,4-4,3-3,1-1,7,8,0,4,3,12,39.5,11,11.75
18,M. Bridges,PHX,@Sac,116-100 W,36,9-15,4-8,0-0,7,1,0,1,0,22,38,8,14
19,K. Kuzma,LAL,Min,91-127 W,29,8-12,4-6,0-0,3,3,0,3,1,20,37.5,6,14.75
20,K. Johnson,SA,@NO,95-98 L,31,5-10,2-5,2-2,11,5,1,2,2,14,36.9,14,9.25
21,R. Gay,SA,@NO,95-98 L,28,9-20,2-8,2-2,6,2,2,2,1,22,36.6,10,16
22,T. Harris,Phi,@Cle,94-118 L,28,5-10,4-6,2-2,9,5,3,0,3,16,36.4,12,11
23,L. Markkanen,Chi,GS,129-128 L,29,7-13,4-7,5-7,7,1,1,1,2,23,36.3,9,14.75
24,L. Ball,NO,SA,95-98 W,37,7-14,1-5,1-2,8,5,5,0,2,16,36,13,9.75
25,A. Wiggins,GS,@Chi,129-128 W,36,6-15,2-3,5-6,9,4,0,1,0,19,35.3,10,14
26,M. Fultz,Orl,@WSH,120-113 W,29,11-21,2-3,2-2,2,2,1,0,2,26,34.9,3,18.75
27,K. Middleton,Mil,@NY,110-130 L,33,8-18,1-6,5-5,4,5,0,0,0,22,34.8,4,18.75
28,D. Sabonis,Ind,Bos,107-108 W,41,8-18,2-4,1-3,10,5,0,1,4,19,34.3,11,9.75
29,T. Bryant,WSH,Orl,120-113 L,32,8-15,0-2,0-0,7,5,1,1,1,16,34.1,9,12
30,J. Richardson,Dal,@LAC,124-73 W,27,8-13,4-8,1-1,3,2,1,0,0,21,34.1,4,16.25
1,N. Jokic,Den,Hou,111-124 W,34,8-11,1-1,2-3,12,18,3,1,3,19,64.3,16,25.5
2,J. Harden,Hou,@Den,111-124 L,31,10-16,5-9,9-9,6,8,1,0,5,34,58.7,7,29.25
3,L. James,LAL,Por,115-107 L,36,11-20,3-7,4-5,9,6,2,1,3,29,53.2,12,23
4,C. LeVert,BKN,Mem,116-111 L,38,12-29,2-9,2-2,4,11,5,0,3,28,50.2,9,26.5
5,D. Lillard,Por,@LAL,115-107 W,36,10-16,5-10,6-6,4,5,0,1,5,31,49.1,5,22
6,M. Conley,UTAH,@Okc,110-109 W,32,8-15,2-6,2-2,10,9,1,1,2,20,47.5,12,19
7,T. Young,Atl,Det,120-128 W,33,6-13,2-6,15-15,3,6,0,0,3,29,43.5,3,23.75
8,G. Trent Jr.,Por,@LAL,115-107 W,24,10-14,7-11,1-2,3,1,0,0,0,28,42.2,3,23
9,K. Anderson,Mem,@BKN,116-111 W,37,9-17,4-8,6-8,7,3,0,0,4,28,40.9,7,17.75
10,J. Jackson,Det,@Atl,120-128 L,28,11-19,3-7,2-4,4,2,1,1,1,27,40.5,6,21
11,L. Dort,Okc,UTAH,110-109 L,32,9-11,5-7,3-4,2,1,3,0,3,26,40.2,5,16
12,D. Brooks,Mem,@BKN,116-111 W,35,9-19,2-4,4-4,7,4,3,0,5,24,39.1,10,14.25
13,J. Grant,Det,@Atl,120-128 L,38,9-20,3-8,6-6,6,1,0,1,0,27,39,7,18.5
14,C. McCollum,Por,@LAL,115-107 W,37,7-22,3-11,3-3,3,11,3,1,2,20,38.7,7,19.75
15,R. Gobert,UTAH,@Okc,110-109 W,37,6-8,0-0,0-0,10,4,1,4,1,12,37.9,15,5.75
16,J. Valanciunas,Mem,@BKN,116-111 W,39,6-11,0-1,2-2,14,2,1,3,1,14,37.8,18,5.25
17,D. Schroder,LAL,Por,115-107 L,36,8-16,1-2,7-7,4,4,1,0,2,24,37.1,5,17
18,S. Gilgeous-Alexander,Okc,UTAH,110-109 L,36,9-21,1-7,4-4,3,7,1,1,4,23,36.3,5,17
19,M. Plumlee,Det,@Atl,120-128 L,34,4-4,0-0,1-1,12,6,3,0,1,9,36,15,5.5
20,B. Bogdanovic,Atl,Det,120-128 W,30,6-10,5-7,0-0,5,5,0,1,2,17,34.3,6,12.5
21,C. Wood,Hou,@Den,111-124 L,37,9-20,4-5,1-2,3,1,2,2,0,23,33.9,7,14.75
22,D. Wright,Det,@Atl,120-128 L,22,5-9,1-2,7-8,5,4,0,2,2,18,33.3,7,14.5
23,B. Bogdanovic,UTAH,@Okc,110-109 W,35,8-17,5-9,2-2,3,1,2,0,1,23,32.5,5,14.25
24,T. Luwawu-Cabarrot,BKN,Mem,116-111 L,40,7-17,3-10,4-4,6,2,2,1,4,21,31.9,9,9
25,E. Kanter,Por,@LAL,115-107 W,22,6-9,0-0,0-0,14,0,1,0,0,12,30.6,15,6.5
26,J. Nurkic,Por,@LAL,115-107 W,26,5-7,0-1,0-0,12,3,1,0,0,10,30.6,13,6.5
27,J. Murray,Den,Hou,111-124 W,31,7-14,4-6,3-7,5,2,0,1,2,21,29.8,6,13.25
28,P. Millsap,Den,Hou,111-124 W,25,7-8,3-4,2-3,3,1,0,0,3,19,28.7,3,10.75
29,R. Rondo,Atl,Det,120-128 W,15,5-8,2-3,0-0,0,8,0,1,0,12,28.2,1,16.25
30,M. Porter Jr.,Den,Hou,111-124 W,24,5-11,2-6,2-3,9,2,0,1,0,14,28.1,10,10
1,N. Jokic,Den,@Sac,115-125 L,39,9-14,1-3,7-7,10,12,2,0,10,26,55.1,12,18.25
2,N. Vucevic,Orl,@Okc,118-107 W,34,12-18,3-4,1-1,10,5,1,0,1,28,54.3,11,23.5
3,M. Porter Jr.,Den,@Sac,115-125 L,40,12-18,4-7,2-2,10,1,0,2,0,30,53.9,12,21
4,J. Randle,NY,@Cle,95-86 W,44,9-16,4-4,6-10,12,11,1,0,9,28,53.8,13,19
5,J. Embiid,Phi,Tor,93-100 W,38,7-17,1-6,14-16,16,4,2,2,5,29,53.3,20,18.5
6,R. Westbrook,WSH,Chi,115-107 L,38,9-17,1-4,2-2,15,11,1,0,6,21,51.8,16,16.5
7,T. Harris,Phi,Tor,93-100 W,38,11-20,2-5,2-2,11,3,2,2,2,26,49.9,15,17.5
8,J. Holiday,Mil,@Mia,144-97 W,26,9-15,6-10,0-0,3,7,3,1,0,24,48.4,7,24.5
9,S. Curry,GS,@Det,116-106 W,35,9-17,5-9,8-8,5,6,2,0,8,31,47.9,7,20.25
10,J. Tatum,Bos,@Ind,116-111 W,40,9-17,1-3,8-10,11,4,3,0,4,27,47.3,14,17
11,A. Wiggins,GS,@Det,116-106 W,38,9-19,5-8,4-4,7,3,1,3,2,27,46.5,11,18.5
